	BLOCKID10	First_POI	Second_POI	Third_POI	Fourth_POI	Fifth_POI	ARPCIncome	ARPerHEdu	ARPerWork	ARPerRMI5L	ARPer3MU	ARPopDen	ARPerAA	ARHeteInx	ARPerM1724	ARPerHOwn	ARPerSF	NIBRSclass	Place2	Report_Dat	Street_Nam
684	371190053011000	HOWARD JOHNSON EXPRESS	hotels	VIDEO EXTRA	AUSTIN TARPAULIN CO	TAR HEEL STERLING TRUCK CTR	inc-4/15	edu-5/15	empl-5/15	lt5y-13/15	3mu-11/12	popden-14/15	afro-7/13	hetero-13/14	youngm-11/14	own-5/15	sinpar-12/15	Drug/Narcotic Violations	Hotel/Motel	09-2x	OLD INTERSTATE
766	371190020041009	ROSSIER APPRAISAL CO	DESIGN LINES	FRANCHISE DEVELOPMENT SERVICES	DANAE C WOODWARD	KOLBY CONSTRUCTION CO INC	inc-12/15	edu-13/15	empl-10/15	lt5y-2/15	3mu-4/12	popden-4/15	afro-1/13	hetero-1/14	youngm-3/14	own-13/15	sinpar-4/15	Drug/Narcotic Violations	Street/Highway	11-0x	MAMMOTH OAKS
197	371190017021001	REDDMAN'S PIER	MICHAEL L ANGEL	DOLLAR TREE STORES INC	AMERICA GENERAL FIN MANAGEMENT CORP	NAILS X	inc-7/15	edu-4/15	empl-12/15	lt5y-11/15	3mu-8/12	popden-15/15	afro-1/13	hetero-10/14	youngm-14/14	own-8/15	sinpar-10/15	Drug/Narcotic Violations	Apartment/Duplex Private Res	03-1x	REDDMAN
901	371190047001015	hotels	OMNI CHARLOTTE HOTEL	ILLUM'E	THE RITZ CARLTON HOTEL COMPANY LLC	JONES LANG LASALLE AMERICAS INC	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Drug/Narcotic Violations	Other - Open Area	12-2x	TRADE
624	371190043022020	A H L INC	CHARLOTTE FIRE DEPT	INTERIOR DISTRIBUTORS INC #4619	CORNERSTONE WAY-THE CROSS CHR	RON'S LAWN & JANITORIAL SVC	inc-5/15	edu-10/15	empl-6/15	lt5y-9/15	3mu-8/12	popden-11/15	afro-10/13	hetero-6/14	youngm-4/14	own-3/15	sinpar-15/15	Drug/Narcotic Violations	Street/Highway	09-0x	GLENWOOD
64	371190038022000	INTOWN SUITES MANAGEMENT INC	hotels	EDS RESOURCE MANAGEMENT CORPORATION	COMPUTER SCIENCES CORP	INVISTA  S. A. R. L. LLC	inc-2/15	edu-9/15	empl-6/15	lt5y-10/15	3mu-9/12	popden-3/15	afro-10/13	hetero-5/14	youngm-3/14	own-7/15	sinpar-13/15	Drug/Narcotic Violations	Hotel/Motel	01-2x	PRESSLEY
422	371190053011004	BANK OF AMERICA NATIONAL ASSOCIATION	K & L TIRE	A SELF STORAGE CTR	U S TRADE INC	JIM'S SEAFOOD MARKET INC.	inc-4/15	edu-5/15	empl-5/15	lt5y-13/15	3mu-11/12	popden-4/15	afro-3/13	hetero-10/14	youngm-8/14	own-5/15	sinpar-4/15	Drug/Narcotic Violations	Street/Highway	06-0x	GRAHAM
58	371190031032020	RED BULL NORTH AMERICA INC	J CROWLEY INC	LAKESIDE LIFT SVC	DEDICATED TECHNICAL	CHONG YE MARTIN REUPHOLSTERY	inc-11/15	edu-2/15	empl-14/15	lt5y-6/15	3mu-4/12	popden-10/15	afro-1/13	hetero-1/14	youngm-4/14	own-13/15	sinpar-3/15	Drug/Narcotic Violations	Private Residence	01-2x	SANDRIDGE
570	371190023002004	SANDWICH SHOP & FOOD STORE	SANDWICH SHOP	GRIER PARK APARTMENTS	HOUSE OF GOD CLEANING SVC	A PREFERRED WOMEN'S HEALTH CTR	inc-1/15	edu-13/15	empl-1/15	lt5y-12/15	3mu-10/12	popden-15/15	afro-10/13	hetero-5/14	youngm-4/14	own-3/15	sinpar-15/15	Drug/Narcotic Violations	Convenience Store	08-1x	SAM DRENAN
75	371190013001016	FAMILY DOLLAR STORE	LOMAX TILE & MARBLE INC	MINI STORAGE CTR	WEESIES HOME CARE SERVICES INC	CHARLOTTE MECKLENBURG BOARD OF ED	inc-8/15	edu-10/15	empl-6/15	lt5y-6/15	3mu-4/12	popden-10/15	afro-9/13	hetero-9/14	youngm-7/14	own-12/15	sinpar-9/15	Drug/Narcotic Violations	Other - Open Area	01-2x	ACADEMY
539	371190047001015	TRADE CENTER OFFICE	BANK OF AMERICA NATIONAL ASSOCIATIO	BURGER KING	BOJANGLES	ALLIEDBARTON NC LLC	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Drug/Narcotic Violations	Air/Bus/Train Terminal	07-2x	TRADE
543	371190038023010	GOLD CLUB	INTERSTATE ROOFING CO	K C STARNES & SON AUTO BODY	drinking	park	inc-6/15	edu-1/15	empl-7/15	lt5y-3/15	3mu-1/12	popden-1/15	afro-6/13	hetero-9/14	youngm-11/14	own-2/15	sinpar-14/15	Drug/Narcotic Violations	Bar/Tavern/Nightclub	07-2x	OLD PINEVILLE
