	BLOCKID10	First_POI	Second_POI	Third_POI	Fourth_POI	Fifth_POI	ARPCIncome	ARPerHEdu	ARPerWork	ARPerRMI5L	ARPer3MU	ARPopDen	ARPerAA	ARHeteInx	ARPerM1724	ARPerHOwn	ARPerSF	NIBRSclass	Place2	Report_Dat	Street_Nam
44	371190015043000	CENTRAL CAROLINA BANK	COSTWOLD URGENT CARE	EDJONES GROUP	MED'S DIRECT	REALTY VALUATION GROUP INC	inc-3/15	edu-9/15	empl-3/15	lt5y-11/15	3mu-8/12	popden-8/15	afro-5/13	hetero-14/14	youngm-9/14	own-11/15	sinpar-8/15	Counterfeiting/Forgery	Financial Institution	04-2x	SHARON AMITY
116	371190030161000	ALLTEL COMMUNICATIONS LLC	SUBWAY SANDWICHES & SALADS	WAL-MART STORES INC	walmart	BARNES & NOBLE BOOKSELLERS	inc-11/15	edu-11/15	empl-7/15	lt5y-13/15	3mu-10/12	popden-10/15	afro-4/13	hetero-11/14	youngm-6/14	own-2/15	sinpar-6/15	Counterfeiting/Forgery	Department Store	08-1x	PINEVILLE-MATTHEWS
31	371190001001019	HUFFMAN LAW PLLC	GUITAR WORKSHOP	EUROPEAN CELLARS LLC	LEON C LESTER JR DDS PA	CAROLINA MEDICAL ASSOC	inc-15/15	edu-1/15	empl-15/15	lt5y-14/15	3mu-11/12	popden-12/15	afro-6/13	hetero-12/14	youngm-13/14	own-12/15	sinpar-6/15	Counterfeiting/Forgery	Other - Commercial Place	03-1x	7TH
74	371190047001015	TRADE CENTER OFFICE	BANK OF AMERICA NATIONAL ASSOCIATIO	BURGER KING	BOJANGLES	ALLIEDBARTON NC LLC	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Counterfeiting/Forgery	Air/Bus/Train Terminal	06-2x	TRADE
168	371190013001004	ROSELAND FLORAL CO INC	CLEARING HOUSE SOUTH INC	GENERAL MAINTENANCE CO	FUSE DVD AND GRAPHICS LLC	MC ADAMS CO	inc-8/15	edu-10/15	empl-6/15	lt5y-6/15	3mu-4/12	popden-10/15	afro-12/13	hetero-2/14	youngm-7/14	own-8/15	sinpar-13/15	Counterfeiting/Forgery	Gas Station	11-0x	CENTRAL
108	371190001001020	MARVELOUS KUTZ	NIKKI'S HAIR SALON	AFRICAN TOUCH BRAIDING	PARK PLACE HOSPITALITY GROUP	HONEY ENTERPRISES INC	inc-15/15	edu-1/15	empl-15/15	lt5y-14/15	3mu-11/12	popden-1/15	afro-1/13	hetero-12/14	youngm-13/14	own-12/15	sinpar-4/15	Counterfeiting/Forgery	Church/Synagogue/Temple	08-0x	COLLEGE
35	371190030161000	ALLTEL COMMUNICATIONS LLC	SUBWAY SANDWICHES & SALADS	WAL-MART STORES INC	walmart	BARNES & NOBLE BOOKSELLERS	inc-11/15	edu-11/15	empl-7/15	lt5y-13/15	3mu-10/12	popden-10/15	afro-4/13	hetero-11/14	youngm-6/14	own-2/15	sinpar-6/15	Counterfeiting/Forgery	Shopping Mall	03-2x	PINEVILLE-MATTHEWS
29	371190005003013	SHOWMARS GOVERNMENT CENTER INC	MECKLENBURG COUNTY HUMAN RESOURCES	CITY OF CHARLOTTE	CONTRACTS ADMINISTRATION	MECKLENBURG HISTORIC DISTRICT	inc-11/15	edu-14/15	empl-10/15	lt5y-10/15	3mu-9/12	popden-14/15	afro-6/13	hetero-11/14	youngm-3/14	own-12/15	sinpar-7/15	Counterfeiting/Forgery	Government Building	03-1x	4TH
73	371190028003001	RAMEY MILLETT INC	BRAND NAME MANAGEMENT INC	STRATEGIC DEVELOPMENTAL	AL EDWARDS ASSOC	MARSHALL PHILLIPS	inc-15/15	edu-10/15	empl-4/15	lt5y-3/15	3mu-6/12	popden-8/15	afro-1/13	hetero-1/14	youngm-2/14	own-12/15	sinpar-1/15	Counterfeiting/Forgery	Apartment/Duplex Private Res	06-2x	FENTON
95	371190013001004	WACHOVIA SECURITIES LLC	WACHOVIA BANK NORTH AMERICA	CAROLINA CREDIT UNION SERVICES INC	FIRESTONE TIRE & AUTO CTR	FIRST CHARTER BANK	inc-8/15	edu-10/15	empl-6/15	lt5y-6/15	3mu-4/12	popden-10/15	afro-12/13	hetero-2/14	youngm-7/14	own-8/15	sinpar-13/15	Counterfeiting/Forgery	Financial Institution	07-2x	CENTRAL
0	371190047001015	TRADE CENTER OFFICE	BANK OF AMERICA NATIONAL ASSOCIATIO	BURGER KING	BOJANGLES	ALLIEDBARTON NC LLC	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Counterfeiting/Forgery	Restaurant/Diner/Coffee Shop	01-0x	TRADE
197	371190040003008	MOORES SANTUARY CHILD DEVELOPMENT C	JOHN DEERE LANDSCAPES	ROBERTS ENTERPRISES INC	R G A ENTERPRISES INC	DOELARKEH INC	inc-9/15	edu-2/15	empl-10/15	lt5y-11/15	3mu-6/12	popden-10/15	afro-9/13	hetero-6/14	youngm-14/14	own-4/15	sinpar-13/15	Counterfeiting/Forgery	Private Residence	12-2x	MORRIS FIELD
59	371190004001009	WACHOVIA BANK NORTH AMERICA	VICTORY TROPHY SHOP INC	CAROLINA EMBROIDERY WORKS	TRIPLE G AUTOMOTIVE INC	J E HUDSON & SONS	inc-14/15	edu-2/15	empl-15/15	lt5y-14/15	3mu-11/12	popden-1/15	afro-5/13	hetero-12/14	youngm-13/14	own-6/15	sinpar-1/15	Counterfeiting/Forgery	Financial Institution	06-0x	MOREHEAD
129	371190019111004	NEW FELLOWSHIP WORSHIP CTR	NEW HOPE BAPTIST CHURCH	GEORGE J WIMBISH LIMO SVC	KIDS CLUB	ALLSTAR CARPET CLEANING INC	inc-9/15	edu-12/15	empl-6/15	lt5y-1/15	3mu-1/12	popden-13/15	afro-6/13	hetero-14/14	youngm-5/14	own-11/15	sinpar-9/15	Counterfeiting/Forgery	Other - Residential	09-0x	MEADOWDALE
15	371190015042000	FIRST CITIZENS BANK & TRUST CO	MC DONALD'S	BLOCKBUSTER	NAIL CLUB	LAVA JAVA GLOBAL ESPRESSO INC	inc-7/15	edu-5/15	empl-9/15	lt5y-2/15	3mu-3/12	popden-6/15	afro-8/13	hetero-9/14	youngm-9/14	own-10/15	sinpar-11/15	Counterfeiting/Forgery	Financial Institution	02-1x	MILTON
94	371190053011004	WAYNES SUPERMARKET	BEAUTY WORLD	BEAUTY WORLD	CASUAL PLUS INC	MCCALLUM SALES INC	inc-4/15	edu-5/15	empl-5/15	lt5y-13/15	3mu-11/12	popden-4/15	afro-3/13	hetero-10/14	youngm-8/14	own-5/15	sinpar-4/15	Counterfeiting/Forgery	Grocery Store/Supermarket	07-2x	GRAHAM
164	371190030161000	BED BATH & BEYOND INC	C C SELF TAN LLC	PAYLESS SHOE SOURCE	RITZ CAMERA CENTERS INC	GOOD OL' DAYS	inc-11/15	edu-11/15	empl-7/15	lt5y-13/15	3mu-10/12	popden-10/15	afro-4/13	hetero-11/14	youngm-6/14	own-2/15	sinpar-6/15	Counterfeiting/Forgery	Department Store	10-2x	PINEVILLE-MATTHEWS
113	371190013001004	CVS PHARMACY	R C S CONCRETE OF NORTH CAROLINA	PEPPERTREE APARTMENTS	DOCKSIDE SEAFOOD MARKET	PARTHENON GIFT & GOURMET SHOP	inc-8/15	edu-10/15	empl-6/15	lt5y-6/15	3mu-4/12	popden-10/15	afro-12/13	hetero-2/14	youngm-7/14	own-8/15	sinpar-13/15	Counterfeiting/Forgery	Drug Store	08-1x	CENTRAL
124	371190013001004	WACHOVIA BANK NORTH AMERICA	HANDS ON CHARLOTTE	KELLY TIRE SALES	PHINNEY ENTERPRISES INC	ZADA JANES INC	inc-8/15	edu-10/15	empl-6/15	lt5y-6/15	3mu-4/12	popden-10/15	afro-12/13	hetero-2/14	youngm-7/14	own-8/15	sinpar-13/15	Counterfeiting/Forgery	Financial Institution	08-2x	CENTRAL
41	371190007001034	COLD BEVERAGEAVE	C'S MINI-MART	THE SHERWIN WILLIAMS COMPANY	FATBACK QUEEN	L K FARRAR GROCERY	inc-10/15	edu-2/15	empl-7/15	lt5y-5/15	3mu-10/12	popden-9/15	afro-5/13	hetero-12/14	youngm-12/14	own-5/15	sinpar-3/15	Counterfeiting/Forgery	Convenience Store	04-1x	BELMONT
123	371190024003004	RBC CENTURA	MECKLENBURG PULMONARY SPECIALIST PL	THOMAS W ARMSTRONG	ARMSTRONG & ESHLEMAN PA	THOMAS W FARLEY IV DDS PA	inc-15/15	edu-3/15	empl-11/15	lt5y-2/15	3mu-3/12	popden-1/15	afro-1/13	hetero-6/14	youngm-1/14	own-5/15	sinpar-2/15	Counterfeiting/Forgery	Financial Institution	08-2x	RANDOLPH
0	371190001001006	THOMAS C PORTER LAW OFFICES PA	TECHNIKONE	LITTLE ROCK AME ZION CHURCH	TRINITY EPISCOPAL SCHOOL	PRESBYTERIAN HOMECARE-HOSPICE	inc-15/15	edu-1/15	empl-15/15	lt5y-14/15	3mu-11/12	popden-12/15	afro-1/13	hetero-12/14	youngm-13/14	own-12/15	sinpar-6/15	Pocket-Picking	Private Residence	01-0x	8TH
1	371190049001004	TURNAROUND	FIRST MAYFIELD MEMORIAL BAPT	SHUTDOWN SOLUTIONS INC	GREENVILLE RECREATION CTR	CHARLOTTE GREENVILLE CTR	inc-5/15	edu-13/15	empl-11/15	lt5y-2/15	3mu-6/12	popden-15/15	afro-13/13	hetero-6/14	youngm-10/14	own-3/15	sinpar-12/15	Pocket-Picking	Public Housing Private	01-0x	SPRING
2	371190051001003	CARBURETOR AB MAGNETO & ELEC	B & S AUTO & TOWING	RTX LOGISTICS	MEADOWS OFFICE SUPPLY CO INC	MC LEOD TRUCKING & RIGGING CO	inc-1/15	edu-8/15	empl-2/15	lt5y-10/15	3mu-3/12	popden-14/15	afro-9/13	hetero-2/14	youngm-10/14	own-11/15	sinpar-8/15	Pocket-Picking	Bar/Tavern/Nightclub	01-1x	ATANDO
3	371190053011000	HOWARD JOHNSON EXPRESS	hotels	VIDEO EXTRA	AUSTIN TARPAULIN CO	TAR HEEL STERLING TRUCK CTR	inc-4/15	edu-5/15	empl-5/15	lt5y-13/15	3mu-11/12	popden-14/15	afro-7/13	hetero-13/14	youngm-11/14	own-5/15	sinpar-12/15	Pocket-Picking	Hotel/Motel	01-1x	OLD INTERSTATE
4	371190030132018	TARGET	FUNCOLAND	RADIO SHACK	COTTONWOOD FINE PAPERS INC	MIKKO ENTERPRISE INC	inc-12/15	edu-7/15	empl-11/15	lt5y-1/15	3mu-1/12	popden-8/15	afro-1/13	hetero-8/14	youngm-2/14	own-13/15	sinpar-5/15	Pocket-Picking	Other - Public/Non-Residential	01-1x	REA
5	371190030161000	THE FRESH MARKET INC	RITE AID	ECKERD DRUGS	GENERAL NUTRITION CORPORATION	TODD'S FLOWERS	inc-11/15	edu-11/15	empl-7/15	lt5y-13/15	3mu-10/12	popden-10/15	afro-4/13	hetero-11/14	youngm-6/14	own-2/15	sinpar-6/15	Pocket-Picking	Grocery Store/Supermarket	01-2x	PINEVILLE-MATTHEWS
6	371190001001019	TECHNIKONE	LITTLE ROCK AME ZION CHURCH	PRESBYTERIAN HOMECARE-HOSPICE	THOMAS C PORTER LAW OFFICES PA	CHARLOTTE MECKLENBURG AFRO AMERICAN	inc-15/15	edu-1/15	empl-15/15	lt5y-14/15	3mu-11/12	popden-12/15	afro-6/13	hetero-12/14	youngm-13/14	own-12/15	sinpar-6/15	Pocket-Picking	ATM	01-2x	7TH
7	371190015043000	OUMY PROFESSIONAL AFRICAN HAIR	GROUTING & CORROSION PRODUCTS INC	EASTLAND BUSINESS COMMONS	DEBRIANTS OFFICE SERVICES INC	TAX ADVANTAGE	inc-3/15	edu-9/15	empl-3/15	lt5y-11/15	3mu-8/12	popden-8/15	afro-5/13	hetero-14/14	youngm-9/14	own-11/15	sinpar-8/15	Pocket-Picking	Beauty Salon/Barber Shop	01-2x	SHARON AMITY
8	371190019101002	WOODLANDS	AURIUM RESEARCH USA	THE TEMPLE REFUGE OF INTERNATIONAL	LIBERTY COIN LAUNDRY	HOLLYWOOD NAILS	inc-3/15	edu-7/15	empl-10/15	lt5y-15/15	3mu-12/12	popden-8/15	afro-9/13	hetero-4/14	youngm-6/14	own-1/15	sinpar-6/15	Pocket-Picking	Apartment/Duplex Private Res	02-0x	WOODBEND
9	371190028002001	KATHERINE W HODGES	WILLIAM GRIESSER	CAROLINE WANNAMAKER SINK	BREATHQUANT MEDICAL SYSTEMS INC	LINDA K HAWFIELD	inc-14/15	edu-8/15	empl-4/15	lt5y-2/15	3mu-2/12	popden-10/15	afro-1/13	hetero-2/14	youngm-2/14	own-12/15	sinpar-2/15	Pocket-Picking	Private Residence	02-0x	BEVERLY
10	371190028002002	KELLY HOPKINS	HEATHER RUSSELL KOENIG	CAMP WHIP POOR WILL LLC	BIKE HOWARD	COLEY COLLETT INC	inc-14/15	edu-8/15	empl-4/15	lt5y-2/15	3mu-2/12	popden-13/15	afro-1/13	hetero-1/14	youngm-1/14	own-15/15	sinpar-1/15	Pocket-Picking	Private Residence	02-0x	HAMPTON
11	371190028002002	FIRST CHARLOTTE APPRAISAL SVC	LINDA K HAWFIELD	800 CHEROKEE ASSOCIATION	MYERS PARK PRESBYTERIAN SCHOOL	MYERS PARK PRESBYTERIAN CHURCH	inc-14/15	edu-8/15	empl-4/15	lt5y-2/15	3mu-2/12	popden-13/15	afro-1/13	hetero-1/14	youngm-1/14	own-15/15	sinpar-1/15	Pocket-Picking	Other - Residential	02-0x	HAMPTON
12	371190030161000	PROVIDENCE HIGH SCHOOL	CHRISTOPHER CHARLES KUPEC	LEGACY ARBORETUM	SHAKLEE DISTRIBUTOR	PROVIDENCE COURT	inc-11/15	edu-11/15	empl-7/15	lt5y-13/15	3mu-10/12	popden-10/15	afro-4/13	hetero-11/14	youngm-6/14	own-2/15	sinpar-6/15	Pocket-Picking	School/College	02-1x	PINEVILLE-MATTHEWS
13	371190047001015	THE RITZ CARLTON HOTEL COMPANY LLC	hotels	FIRST IMPRESSION AUTO CARE INC	LINCOLN HARRIS	DELOITTE & TOUCHE SERVICES LP	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Pocket-Picking	Restaurant/Diner/Coffee Shop	02-1x	TRADE
14	371190001001020	BIRMINGHAM FIRE INSURANCE CO INC	AMERICAN HOME ASSURANCE CO A CORP	MYTHOS	COSMOS CAFE	A I G CONSULTANTS INC	inc-15/15	edu-1/15	empl-15/15	lt5y-14/15	3mu-11/12	popden-1/15	afro-1/13	hetero-12/14	youngm-13/14	own-12/15	sinpar-4/15	Pocket-Picking	Bar/Tavern/Nightclub	02-1x	COLLEGE
15	371190014001006	SOLSTICE TAVERN	SUNSHINE DAYDREAMS	drinking	MC CULLOUGH AUTO ELECTRIC	EVENING MUSE	inc-10/15	edu-4/15	empl-9/15	lt5y-5/15	3mu-8/12	popden-15/15	afro-1/13	hetero-10/14	youngm-2/14	own-10/15	sinpar-2/15	Pocket-Picking	Bar/Tavern/Nightclub	02-2x	DAVIDSON
16	371190014001006	DAVANT MANAGEMENT	MARK WILLIAMS APPAREL SALES	CROHN'S & COLITIS FOUNDATION	HIGHLAND MILL RESIDENTIAL LLC	CHARLOTTE TASTE	inc-10/15	edu-4/15	empl-9/15	lt5y-5/15	3mu-8/12	popden-15/15	afro-1/13	hetero-10/14	youngm-2/14	own-10/15	sinpar-2/15	Pocket-Picking	Bar/Tavern/Nightclub	02-2x	DAVIDSON
17	371190032011003	CHARLOTTE WOOD APARTMENTS	CAROLINA FIRST AID & SAFETY	WILDWOOD APARTMENTS	MT ZION HOLINESS CHURCH	KHL DESIGNS	inc-9/15	edu-14/15	empl-14/15	lt5y-5/15	3mu-5/12	popden-9/15	afro-2/13	hetero-11/14	youngm-12/14	own-2/15	sinpar-12/15	Pocket-Picking	Apartment/Duplex Private Res	03-0x	SCALEYBARK
18	371190039022009	HOUSING AUTHORITY-CHARLOTTE	ARBOR GLEN APARTMENTS	ARBOR GLEN MEDICAL OFFICE	SHINE TINE MOBILE CAR WASH	PROGRESSIVE BAPTIST CHURCH	inc-2/15	edu-14/15	empl-4/15	lt5y-12/15	3mu-9/12	popden-13/15	afro-12/13	hetero-1/14	youngm-4/14	own-1/15	sinpar-14/15	Pocket-Picking	Apartment/Duplex Private Res	03-0x	FARMER
19	371190047001015	CITY OF CHARLOTTE CHARLOTTE REGIONA	BOBCATS	BELLACINO'S PIZZA & GRINDERS	PRITCHARD SPORTS & ENTERTAINMENT G	CROWN CORR INC	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Pocket-Picking	Air/Bus/Train Terminal	03-0x	TRADE
20	371190047001015	JOHNSON & WALES UNIVERSITY	CITI DRY CLEANERS	GREAT WOK	VISUS CONSULTING CORP	DONATOS	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Pocket-Picking	School - College or University	03-0x	TRADE
21	371190014002016	THE BOULEVARD AT NODA LLC	B 3 DESIGN SOLUTIONS	GREEN RICE DESIGNS	drinking	drinking	inc-11/15	edu-11/15	empl-11/15	lt5y-4/15	3mu-6/12	popden-6/15	afro-3/13	hetero-8/14	youngm-4/14	own-7/15	sinpar-7/15	Pocket-Picking	Other - Retail	03-1x	36TH
22	371190040001001	HARDING UNIVERSITY HIGH SCHOOL	CHURCH OF THE LIVING WATERS	J M TILE & MORE CORP	FIRST WESLEYAN CHURCH	SPECIALTY BUILDERS	inc-6/15	edu-3/15	empl-8/15	lt5y-3/15	3mu-4/12	popden-1/15	afro-9/13	hetero-7/14	youngm-7/14	own-7/15	sinpar-13/15	Pocket-Picking	School - Primary or Secondary	03-1x	ALLEGHANY
23	371190031021018	KING & SMITH PLLC	JORDAN D INC	WYNDHAM CAPITAL MORTGAGE	LKM	SIGNATURE HEALTHCARE PLLC	inc-13/15	edu-2/15	empl-9/15	lt5y-3/15	3mu-8/12	popden-9/15	afro-4/13	hetero-6/14	youngm-2/14	own-12/15	sinpar-8/15	Pocket-Picking	Office	03-2x	PARK SOUTH
24	371190038021002	TRIANGLE FASTENERS (A CORP)	BLUME SUPPLY INC	MMA OF CHARLOTTE	MCNAMARA ENTERPRISES INC	FEDERAL HEATING & COOLING CO	inc-7/15	edu-7/15	empl-9/15	lt5y-1/15	3mu-1/12	popden-2/15	afro-13/13	hetero-12/14	youngm-9/14	own-11/15	sinpar-15/15	Pocket-Picking	Office	03-2x	PELTON
25	371190030132018	TARGET	FUNCOLAND	RADIO SHACK	COTTONWOOD FINE PAPERS INC	MIKKO ENTERPRISE INC	inc-12/15	edu-7/15	empl-11/15	lt5y-1/15	3mu-1/12	popden-8/15	afro-1/13	hetero-8/14	youngm-2/14	own-13/15	sinpar-5/15	Pocket-Picking	Department Store	03-2x	REA
26	371190053011004	FOOD LION	CHINA INN	PAUL'S LUXURY USED CARS	JUST DEALIN INC	ROAD LINK USA	inc-4/15	edu-5/15	empl-5/15	lt5y-13/15	3mu-11/12	popden-4/15	afro-3/13	hetero-10/14	youngm-8/14	own-5/15	sinpar-4/15	Pocket-Picking	Grocery Store/Supermarket	03-2x	GRAHAM
27	371190053011004	U S TRADE INC	JIM'S SEAFOOD MARKET INC.	K & L TIRE	CONSOLIDATED ALLOY	BANK OF AMERICA NATIONAL ASSOCIATION	inc-4/15	edu-5/15	empl-5/15	lt5y-13/15	3mu-11/12	popden-4/15	afro-3/13	hetero-10/14	youngm-8/14	own-5/15	sinpar-4/15	Pocket-Picking	Street/Highway	03-2x	GRAHAM
28	371190037002001	AUDIO VISUAL REPAIRS	CHARLOTTE METAL FINISHING CO	FDY  INC.	VOCA CORPORATION OF N.C.	IDEAL TOOL & DIE CO INC	inc-1/15	edu-13/15	empl-1/15	lt5y-15/15	3mu-10/12	popden-1/15	afro-10/13	hetero-5/14	youngm-6/14	own-1/15	sinpar-15/15	Pocket-Picking	School - Primary or Secondary	04-1x	BANK
29	371190023002001	R J S PROPERTIES INC	CAROLINAS PETROLEUM PRODUCTS CO	CMDM	US INK AND TONER INC	ATKINS PROPERTIES LLC	inc-1/15	edu-13/15	empl-1/15	lt5y-12/15	3mu-10/12	popden-15/15	afro-10/13	hetero-5/14	youngm-4/14	own-1/15	sinpar-15/15	Pocket-Picking	Office	04-1x	LATROBE
30	371190030132018	GOOD SHEPHERD PRESBYTERIAN CHR	park	RESIDENTIAL SUPPORT SERVICES INC	CAROL TROY INTERIORS INC	BAMAR CONSTRUCTION INC	inc-12/15	edu-7/15	empl-11/15	lt5y-1/15	3mu-1/12	popden-8/15	afro-1/13	hetero-8/14	youngm-2/14	own-13/15	sinpar-5/15	Pocket-Picking	Church/Synagogue/Temple	04-2x	REA
31	371190054011004	LEBIAN & GAY COMMUNITY CTR	OUTLAW BIKER ENTERPRISES INC	BULLZEYE INC	ONE VOICE CHORUS	GAY & LESBIAN SWITCHBOARD	inc-9/15	edu-12/15	empl-12/15	lt5y-7/15	3mu-7/12	popden-15/15	afro-8/13	hetero-12/14	youngm-9/14	own-12/15	sinpar-11/15	Pocket-Picking	Other - Public/Non-Residential	05-0x	HAMILTON
32	371190034002001	WILLIAM C FRYE	LOTUS DILWORTH LLC	PATERSON MACKAY GROUP	LOIS LODGE	JOHN KELLY REALTY	inc-14/15	edu-3/15	empl-14/15	lt5y-4/15	3mu-4/12	popden-10/15	afro-5/13	hetero-8/14	youngm-2/14	own-6/15	sinpar-4/15	Pocket-Picking	Other - Residential	05-1x	CHARLOTTE
33	371190041004008	WHITE'S UPHOLSTERY SHOP	FIRST MT ZION BAPTIST CHURCH	DISCOUNT CHECK CASHERS OF CHARLOTTE	URBAN MEXX	DOLLARS R US	inc-5/15	edu-2/15	empl-8/15	lt5y-9/15	3mu-2/12	popden-2/15	afro-13/13	hetero-5/14	youngm-7/14	own-4/15	sinpar-10/15	Pocket-Picking	Convenience Store	05-1x	REMOUNT
34	371190029043001	ALAN DANIELS SALON	STARBUCKS CORPORATION	CVS RX SERVICES INC T089	THE UPS STORE	SURROUNDINGS	inc-13/15	edu-8/15	empl-11/15	lt5y-4/15	3mu-8/12	popden-9/15	afro-1/13	hetero-2/14	youngm-1/14	own-13/15	sinpar-3/15	Pocket-Picking	Grocery Store/Supermarket	05-1x	CARMEL
35	371190030161000	PROVIDENCE HIGH SCHOOL	CHRISTOPHER CHARLES KUPEC	LEGACY ARBORETUM	SHAKLEE DISTRIBUTOR	PROVIDENCE COURT	inc-11/15	edu-11/15	empl-7/15	lt5y-13/15	3mu-10/12	popden-10/15	afro-4/13	hetero-11/14	youngm-6/14	own-2/15	sinpar-6/15	Pocket-Picking	School - Primary or Secondary	05-2x	PINEVILLE-MATTHEWS
36	371190051001001	FLEET EQUIPMENT INC,	180 CONNECT INC	VEHICARE	WILLIAMS HARDWARE INC	H T KERR INC	inc-1/15	edu-8/15	empl-2/15	lt5y-10/15	3mu-3/12	popden-12/15	afro-12/13	hetero-2/14	youngm-7/14	own-4/15	sinpar-12/15	Pocket-Picking	Factory/Warehouse	06-0x	JOE
37	371190058172004	CAROLINA BARGAIN HUNTER	GAINER & ASSOCIATES LLC	GIL CATINO INC	GRANT M LAVELY	FRESH AND CLEAN RESTORATION LLC	inc-12/15	edu-6/15	empl-10/15	lt5y-1/15	3mu-2/12	popden-4/15	afro-1/13	hetero-3/14	youngm-4/14	own-14/15	sinpar-1/15	Pocket-Picking	Other - Residential	06-2x	FAIRWAY RIDGE
38	371190047001015	BLACKFINN CLT LLC	CONCRETE STRATEGIES LLC	FLAHERTY & COLLINS CONSTRUCTION	THE RITZ CARLTON HOTEL COMPANY LLC	ILLUM'E	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Pocket-Picking	Bar/Tavern/Nightclub	06-2x	TRADE
39	371190005002004	SOUTHERN PAN SERVICES CO (A CORP)	BANK OF AMERICA CORP	BANK OF AMERICA NATIONAL ASSOCIATIO	DUKE ENERGY	JUNS DRY CLEANERS	inc-13/15	edu-14/15	empl-14/15	lt5y-14/15	3mu-12/12	popden-15/15	afro-6/13	hetero-12/14	youngm-12/14	own-1/15	sinpar-5/15	Pocket-Picking	Street/Highway	06-2x	5TH
40	371190045001002	UNIVERSITY CHARLOTTE APTS LLC	TRINITY TELECOM LLC	STANDARD CRANKSHAFT CO INC	ASHTON INNOVATIONS INC	CABINETS	inc-2/15	edu-13/15	empl-1/15	lt5y-9/15	3mu-5/12	popden-12/15	afro-11/13	hetero-4/14	youngm-8/14	own-3/15	sinpar-15/15	Pocket-Picking	Apartment/Duplex Private Res	07-0x	SOUTHWEST
41	371190013001004	BURGER KING	FA AUTO	EL LOCO FARMERS MARKET	EL LOCO FARMER'S MARKET	COCINA LATINA	inc-8/15	edu-10/15	empl-6/15	lt5y-6/15	3mu-4/12	popden-10/15	afro-12/13	hetero-2/14	youngm-7/14	own-8/15	sinpar-13/15	Pocket-Picking	Gas Station	07-0x	CENTRAL
42	371190005002004	FIRST PRESBYTERIAN CHURCH	LATORRES RESTAURANT AND BAR INC	J S BUCHANAN CORP	CITY BARBERS	WITHERSPOON HOME INSPECTIONS	inc-13/15	edu-14/15	empl-14/15	lt5y-14/15	3mu-12/12	popden-15/15	afro-6/13	hetero-12/14	youngm-12/14	own-1/15	sinpar-5/15	Pocket-Picking	Other - Open Area	07-1x	5TH
43	371190001001020	BIRMINGHAM FIRE INSURANCE CO INC	AMERICAN HOME ASSURANCE CO A CORP	MYTHOS	COSMOS CAFE	A I G CONSULTANTS INC	inc-15/15	edu-1/15	empl-15/15	lt5y-14/15	3mu-11/12	popden-1/15	afro-1/13	hetero-12/14	youngm-13/14	own-12/15	sinpar-4/15	Pocket-Picking	Bar/Tavern/Nightclub	07-1x	COLLEGE
44	371190030132018	STARKS TRAINING INSTITUTE INC	STONECREST @PIPER GLEN STADIUM 22	JERSEY MIKES SUBS & SALADS	DISH IT OUT	ANZI PIZZA AND PASTA	inc-12/15	edu-7/15	empl-11/15	lt5y-1/15	3mu-1/12	popden-8/15	afro-1/13	hetero-8/14	youngm-2/14	own-13/15	sinpar-5/15	Pocket-Picking	Other - Commercial Place	07-2x	REA
45	371190058112009	MIDDLETON HOME SVC	REZA LIMOUSINE	FIRST COLLATERAL SERVICES INC	GALLAGHER SYSTEMS GROUP INC	SHIREY EQUIPMENT CO	inc-12/15	edu-5/15	empl-13/15	lt5y-1/15	3mu-1/12	popden-5/15	afro-4/13	hetero-7/14	youngm-5/14	own-12/15	sinpar-6/15	Pocket-Picking	Financial Institution	08-0x	RITTENHOUSE
46	371190004001007	STADIUM CLEANING SERVICES	PANTHERS STADIUM LLC	STADIUM FOOD & BEVERAGE INC	ELI'S CATERING	CAROLINA PANTHERS	inc-14/15	edu-2/15	empl-15/15	lt5y-14/15	3mu-11/12	popden-1/15	afro-5/13	hetero-12/14	youngm-13/14	own-6/15	sinpar-4/15	Pocket-Picking	Stadium/Arena	08-2x	MINT
